State,Name,Status,Group Email,Website,Facebook,Twitter,Instagram,Blog,Event Calendar,Email list
AK,Anchorage,Chapter,anchoragedsa@gmail.com,https://www.anchoragedsa.org/,https://www.facebook.com/anchoragedsa/,https://twitter.com/AnchorageDsa,https://www.instagram.com/anchoragedsa,,https://www.anchoragedsa.org/calendar.html,https://visitor.r20.constantcontact.com/manage/optin?v=001wR1phChlevHkhYmhrl87XqzmsWTFiLENGt4n8Gyt7Wt5hlByiS5aidZV1Q1mw7XC7ZpRpsDOhTPOqAznbAn8-kv3yQNyqFuxfUx5AKAmI-72XKhAarueVB9EEU2OY7UdDHxbTtVlX8dvHzHp2myg7yq4_YXkpQsi-6qyUA5YsFSAp3BG94H1FA%3D%3D
AL,Birmingham,Chapter,bhamdsa@gmail.com,,facebook.com/bhamdsa,twitter.com/bhamdsa,instagram.com/bhamdsa,,,bhamdsa@gmail.com
AL,North Alabama,Organizing Committee,dsanorthalabama@gmail.com,,https://www.facebook.com/NorthAlabamaDSA/,https://twitter.com/dsanorthalabama,,,https://calendar.google.com/calendar/u/0?cid=ZHNhbm9ydGhhbGFiYW1hQGdtYWlsLmNvbQ,
AL,River Region,Organizing Committee,rraldsa@gmail.com,,https://www.facebook.com/riverregiondsa,https://twitter.com/DsaRiver,,,,
AR,Central Arkansas,Chapter,central.arkansas.dsa@gmail.com,https://centralarkansasdsa.org/,https://www.facebook.com/groups/45309022523/,https://twitter.com/CentralArkDSA,,,,
AR,Fort Smith,Chapter,fortsmithdsa@gmail.com,,https://www.facebook.com/fortsmithdsa,,,,,
AR,Northeast Arkansas,Organizing Committee,nearkdsa@gmail.com,,https://www.facebook.com/neadsa,https://twitter.com/nearkdsa,,,,
AR,Northwest Arkansas,Chapter,nwademsoc@gmail.com,,facebook.com/dsaofnwa/,https://twitter.com/DSA_of_NWA,,,,
AZ,Flagstaff,Chapter,flagstaffdsa@gmail.com,www.flagstaffdsa.com,https://www.facebook.com/FlagstaffDSA,twitter.com/DSAFlagstaff,,,,
AZ,Phoenix,Chapter,phxazdsa@gmail.com,https://www.dsaphoenix.org/,https://www.facebook.com/PHXDSA/,https://twitter.com/DSA_Phoenix,,,,
AZ,Tucson,Chapter,tucsondsa@gmail.com,,https://www.facebook.com/Democratic-Socialists-of-America-Tucson-225193221297736/,https://twitter.com/DSA_Tucson,,,,https://tinyletter.com/tucsondsa
